Step,Response,seconds
3,1,3.4448959827423096
5,3,6.151017904281616
7,2,7.3985819816589355
8,1,18.18426275253296
8,4,18.653230905532837
8,2,19.349031925201416
8,3,19.781213760375977
8,1,20.27897596359253
8,"['1', '4', '2', '3', '1']",20.279226064682007
11,4,42.287184715270996
13,3,44.4093120098114
15,2,46.010130882263184
16,1,49.429402112960815
18,1,60.54686093330383
18,4,60.97140288352966
18,2,61.65688490867615
18,3,62.16380190849304
18,1,62.59672784805298
18,"['1', '4', '2', '3', '1']",62.59699082374573
23,2,89.26756691932678
25,4,90.5730447769165
27,3,95.11176180839539
28,1,105.92763495445251
28,4,106.55640602111816
28,2,107.22849893569946
28,3,107.73894596099854
28,1,108.27071690559387
28,"['1', '4', '2', '3', '1']",108.27099585533142
31,3,130.28074598312378
33,1,134.07657384872437
35,2,142.43607187271118
37,4,147.90756797790527
38,4,158.99230980873108
38,3,159.48425579071045
38,2,159.9581937789917
38,1,160.46958899497986
38,4,160.95589184761047
38,"['4', '3', '2', '1', '4']",160.95615673065186
41,1,183.15108609199524
43,4,187.42897081375122
44,3,190.61870098114014
47,2,193.199462890625
48,1,204.4955928325653
48,4,205.14227080345154
48,2,205.77082896232605
48,3,206.26617908477783
48,1,206.85126495361328
48,"['1', '4', '2', '3', '1']",206.8515350818634
51,1,228.79174995422363
53,4,231.32425999641418
55,2,237.81609392166138
57,3,239.09928584098816
58,1,249.94894409179688
58,4,250.88604998588562
58,2,251.71457195281982
58,3,252.46545505523682
58,1,253.11701607704163
58,"['1', '4', '2', '3', '1']",253.11728692054749
61,4,275.03491497039795
63,3,276.4745337963104
65,3,284.17856788635254
67,1,290.0277590751648
68,4,300.65187096595764
68,3,301.0988919734955
68,2,301.7067587375641
68,1,302.37865686416626
68,4,302.8668007850647
68,"['4', '3', '2', '1', '4']",302.8670699596405
71,1,325.18033599853516
73,3,329.23714089393616
75,2,331.2261438369751
77,4,335.4411039352417
78,1,346.43368792533875
78,4,347.1568238735199
78,2,348.18977785110474
78,3,348.5624439716339
78,1,349.0923020839691
78,"['1', '4', '2', '3', '1']",349.09257102012634
79,3,368.5598449707031
81,1,371.21936893463135
83,3,374.45804381370544
85,4,379.48403811454773
87,2,385.750510931015
88,4,396.46301102638245
88,3,396.9157590866089
88,2,397.4637689590454
88,1,398.0068950653076
88,4,398.52682995796204
88,"['4', '3', '2', '1', '4']",398.52709698677063
91,2,420.6213810443878
93,4,425.07509899139404
95,3,426.3623631000519
97,1,427.84685587882996
98,4,438.82322883605957
98,3,439.2595179080963
98,2,439.7198660373688
98,1,440.23547101020813
98,4,440.91039776802063
98,"['4', '3', '2', '1', '4']",440.91066002845764
105,2,466.1342089176178
107,3,467.53513288497925
108,4,478.3091130256653
108,3,478.75599694252014
108,2,479.19499588012695
108,1,479.8957459926605
108,4,480.4628949165344
108,"['4', '3', '2', '1', '4']",480.46316480636597
111,3,502.5892758369446
113,2,503.86129879951477
115,4,507.67776679992676
116,1,509.6350429058075
118,4,520.6969289779663
118,3,521.0834579467773
118,2,521.5093839168549
118,1,522.1136448383331
118,4,522.5945909023285
118,"['4', '3', '2', '1', '4']",522.5948548316956
