Step,Event_Type,Stimulus,display_seconds,start_seconds
47,single text,,0.0,721.562264919281
47,single text,3 trial Ready,0.0,777.3268799781799
0,seq texts,"['1', '4', '2', '3', '1']",6,0.02112722396850586
1,ISI,+,24,6.053312063217163
2,seq texts,"['4', '1', '3', '2', '4']",6,30.066765069961548
3,ISI,+,24,36.119534969329834
4,seq texts,"['4', '1', '3', '2', '4']",6,60.133217096328735
5,ISI,+,24,66.1858069896698
6,seq texts,"['1', '4', '2', '3', '1']",6,90.1956570148468
7,ISI,+,24,96.25204801559448
8,seq texts,"['4', '1', '3', '2', '4']",6,120.26213693618774
9,ISI,+,24,126.31816792488098
10,seq texts,"['1', '4', '2', '3', '1']",6,150.33218002319336
11,ISI,+,24,156.38431787490845
12,seq texts,"['4', '1', '3', '2', '4']",6,180.39916515350342
13,ISI,+,24,186.45044016838074
14,seq texts,"['1', '4', '2', '3', '1']",6,210.4657142162323
15,ISI,+,24,216.516371011734
16,seq texts,"['1', '4', '2', '3', '1']",6,240.5313799381256
17,ISI,+,24,246.58253407478333
18,seq texts,"['4', '1', '3', '2', '4']",6,270.5971751213074
19,ISI,+,24,276.64856696128845
20,seq texts,"['4', '1', '3', '2', '4']",6,300.663526058197
21,ISI,+,24,306.69800209999084
22,seq texts,"['1', '4', '2', '3', '1']",6,330.71345615386963
23,ISI,+,24,336.74793696403503
24,seq texts,"['4', '1', '3', '2', '4']",6,360.75946497917175
25,ISI,+,24,366.813747882843
26,seq texts,"['1', '4', '2', '3', '1']",6,390.8285858631134
27,ISI,+,24,396.8799259662628
28,seq texts,"['1', '4', '2', '3', '1']",6,420.89524507522583
29,ISI,+,24,426.9460189342499
30,seq texts,"['4', '1', '3', '2', '4']",6,450.95917201042175
31,ISI,+,24,457.01267194747925
32,seq texts,"['1', '4', '2', '3', '1']",6,481.02604508399963
33,ISI,+,24,487.09468603134155
34,seq texts,"['4', '1', '3', '2', '4']",6,511.10760283470154
35,ISI,+,24,517.1611020565033
36,seq texts,"['4', '1', '3', '2', '4']",6,541.1760449409485
37,ISI,+,24,547.2275769710541
38,seq texts,"['1', '4', '2', '3', '1']",6,571.2425789833069
39,ISI,+,24,577.2765109539032
40,seq texts,"['1', '4', '2', '3', '1']",6,601.2912759780884
41,ISI,+,24,607.326268196106
42,seq texts,"['4', '1', '3', '2', '4']",6,631.3406162261963
43,ISI,+,24,637.3923161029816
44,seq texts,"['1', '4', '2', '3', '1']",6,661.4021549224854
45,ISI,+,24,667.4749720096588
46,seq texts,"['4', '1', '3', '2', '4']",6,691.4896292686462
47,ISI,+,24,697.5412540435791
-1,End,End,0,721.5457639694214
