Step,Event_Type,Stimulus,display_seconds,start_seconds
119,single text,,0.0,528.0449039936066
119,single text,3 trial Ready,0.0,547.2611639499664
0,single text,4,0.5,0.027120113372802734
1,ISI,+,7,0.5410580635070801
2,single text,3,0.5,7.560753107070923
3,ISI,+,1,8.075472116470337
4,single text,1,0.5,9.09135913848877
5,ISI,+,1,9.60756802558899
6,single text,2,0.5,10.628093242645264
7,Bundle Interval,...,10,11.140743017196655
8,seq texts,"['1', '4', '2', '3', '1']",15,21.180553913116455
9,ISI,+,21,22.428771018981934
10,single text,1,0.5,43.46236801147461
11,ISI,+,4,43.9745409488678
12,single text,3,0.5,47.989994287490845
13,ISI,+,2,48.50676608085632
14,single text,4,0.5,50.5272650718689
15,ISI,+,8,51.040162086486816
16,single text,2,0.5,59.06099820137024
17,Bundle Interval,...,10,59.59260416030884
18,seq texts,"['4', '3', '2', '1', '4']",15,69.62675309181213
19,ISI,+,21,71.06062006950378
20,single text,3,0.5,92.09605288505554
21,ISI,+,1,92.60703110694885
22,single text,1,0.5,93.62262105941772
23,ISI,+,3,94.13932800292969
24,single text,4,0.5,97.15922021865845
25,ISI,+,3,97.67250204086304
26,single text,2,0.5,100.69267296791077
27,Bundle Interval,...,10,101.20590829849243
28,seq texts,"['4', '3', '2', '1', '4']",15,111.2443380355835
29,ISI,+,21,112.77492713928223
30,single text,1,0.5,133.8098680973053
31,ISI,+,3,134.3226010799408
32,single text,3,0.5,137.34134912490845
33,ISI,+,8,137.8547649383545
34,single text,2,0.5,145.87480115890503
35,ISI,+,5,146.39378094673157
36,single text,4,0.5,151.42536306381226
37,Bundle Interval,...,10,151.9387969970703
38,seq texts,"['1', '4', '2', '3', '1']",15,161.9777991771698
39,ISI,+,21,163.40560102462769
40,single text,3,0.5,184.44358205795288
41,ISI,+,1,184.973473072052
42,single text,2,0.5,185.987398147583
43,ISI,+,4,186.508798122406
44,single text,1,0.5,190.5380561351776
45,ISI,+,1,191.05687999725342
46,single text,4,0.5,192.07043600082397
47,Bundle Interval,...,10,192.59028911590576
48,seq texts,"['1', '4', '2', '3', '1']",15,202.6262171268463
49,ISI,+,21,204.27444410324097
50,single text,2,0.5,225.3094630241394
51,ISI,+,6,225.83936715126038
52,single text,1,0.5,231.87676620483398
53,ISI,+,1,232.3876121044159
54,single text,4,0.5,233.40285420417786
55,ISI,+,2,233.92362809181213
56,single text,3,0.5,235.9407091140747
57,Bundle Interval,...,10,236.45299410820007
58,seq texts,"['4', '3', '2', '1', '4']",15,246.48950004577637
59,ISI,+,21,248.2546422481537
60,single text,4,0.5,269.2963182926178
61,ISI,+,2,269.8207211494446
62,single text,2,0.5,271.8404941558838
63,ISI,+,6,272.3529541492462
64,single text,1,0.5,278.39067101478577
65,ISI,+,1,278.9031422138214
66,single text,3,0.5,279.91945219039917
67,Bundle Interval,...,10,280.439453125
68,seq texts,"['4', '3', '2', '1', '4']",15,290.4746980667114
69,ISI,+,21,292.3395140171051
70,single text,4,0.5,313.37344312667847
71,ISI,+,2,313.9041690826416
72,single text,2,0.5,315.92106008529663
73,ISI,+,1,316.4348132610321
74,single text,3,0.5,317.45201086997986
75,ISI,+,3,317.9710431098938
76,single text,1,0.5,321.00465393066406
77,Bundle Interval,...,10,321.53467321395874
78,seq texts,"['1', '4', '2', '3', '1']",15,331.5747561454773
79,ISI,+,21,333.05477118492126
80,single text,3,0.5,354.0926089286804
81,ISI,+,1,354.61999106407166
82,single text,4,0.5,355.6507670879364
83,ISI,+,1,356.170939207077
84,single text,1,0.5,357.2006928920746
85,ISI,+,1,357.7206211090088
86,single text,2,0.5,358.7338879108429
87,Bundle Interval,...,10,359.25381803512573
88,seq texts,"['4', '3', '2', '1', '4']",15,369.28760409355164
89,ISI,+,21,371.48834705352783
90,single text,4,0.5,392.52505898475647
91,ISI,+,4,393.05269503593445
92,single text,3,0.5,397.0870740413666
93,ISI,+,1,397.61672496795654
94,single text,2,0.5,398.6330542564392
95,ISI,+,1,399.1531729698181
96,single text,1,0.5,400.16694593429565
97,Bundle Interval,...,10,400.68643617630005
98,seq texts,"['1', '4', '2', '3', '1']",15,410.7217290401459
99,ISI,+,21,412.25325417518616
100,single text,1,0.5,433.2874128818512
101,ISI,+,2,433.81866908073425
102,single text,4,0.5,435.83575224876404
103,ISI,+,1,436.34926295280457
104,single text,3,0.5,437.3656361103058
105,ISI,+,1,437.8856620788574
106,single text,2,0.5,438.89940905570984
107,Bundle Interval,...,10,439.4189610481262
108,seq texts,"['4', '3', '2', '1', '4']",15,449.4544098377228
109,ISI,+,21,451.50248312950134
110,single text,3,0.5,472.5376970767975
111,ISI,+,1,473.06780099868774
112,single text,4,0.5,474.0817971229553
113,ISI,+,3,474.5984990596771
114,single text,2,0.5,477.61913108825684
115,ISI,+,2,478.1317858695984
116,single text,1,0.5,480.15211510658264
117,Bundle Interval,...,10,480.68163108825684
118,seq texts,"['1', '4', '2', '3', '1']",15,490.72150325775146
119,ISI,+,21,492.75481510162354
-1,End,End,0,513.7625141143799
