Step,Response,seconds
1,2,1.2000482082366943
3,1,7.333607912063599
5,4,8.793176174163818
7,3,11.284198999404907
8,4,21.856943130493164
8,3,22.053513050079346
8,2,22.201512098312378
8,1,22.33348512649536
8,4,22.445635080337524
8,"['4', '3', '2', '1', '4']",22.445887088775635
11,2,44.2109591960907
13,1,49.83251404762268
14,3,53.02602815628052
17,4,55.72796320915222
18,1,66.34611296653748
18,4,66.45120906829834
18,2,66.60206413269043
18,3,66.70232701301575
18,1,66.83798313140869
18,"['1', '4', '2', '3', '1']",66.8382351398468
21,1,88.47381711006165
23,2,90.11045622825623
25,3,97.7131781578064
27,4,103.26669907569885
28,1,113.77739024162292
28,4,114.00125813484192
28,2,114.23315811157227
28,3,114.50443696975708
28,1,114.62613701820374
28,"['1', '4', '2', '3', '1']",114.62638902664185
33,3,140.06566619873047
35,2,148.656485080719
37,4,154.17181015014648
38,4,164.77907824516296
38,3,164.9779589176178
38,2,165.0868558883667
38,1,165.42463421821594
38,4,165.67581915855408
38,"['4', '3', '2', '1', '4']",165.67607021331787
41,2,187.33279013633728
43,3,189.8198640346527
45,1,194.7286970615387
47,4,196.1127951145172
48,1,206.51857900619507
48,4,206.67022013664246
48,2,206.85123419761658
48,3,206.99945712089539
48,1,207.1372799873352
48,"['1', '4', '2', '3', '1']",207.13754224777222
51,3,229.06778502464294
53,2,230.25945806503296
55,1,235.10339617729187
57,4,236.47840213775635
58,4,246.99221992492676
58,3,247.13294506072998
58,2,247.23298716545105
58,1,247.38496613502502
58,4,247.51686811447144
58,"['4', '3', '2', '1', '4']",247.51713514328003
61,4,269.2131052017212
63,1,275.8439371585846
63,2,280.2068450450897
65,3,281.4553122520447
67,2,284.11020708084106
68,4,294.6143400669098
68,3,294.7512152194977
68,2,294.83499693870544
68,1,295.02898716926575
68,4,295.16588711738586
68,"['4', '3', '2', '1', '4']",295.16614723205566
71,4,316.8218891620636
73,1,321.38425397872925
75,2,325.0298881530762
77,3,327.4663760662079
78,1,338.1825830936432
78,4,338.3242402076721
78,2,338.5314130783081
78,3,338.6596360206604
78,1,338.7773151397705
78,"['1', '4', '2', '3', '1']",338.7775909900665
81,4,360.55070304870605
83,2,363.02360916137695
85,3,364.5386481285095
87,1,368.1059219837189
88,1,378.6977028846741
88,4,378.88632917404175
88,2,379.1938359737396
88,3,379.36733412742615
88,1,379.49756503105164
88,"['1', '4', '2', '3', '1']",379.49783086776733
91,4,401.4624938964844
93,2,403.6610622406006
95,1,410.3129999637604
97,3,411.9442329406738
98,1,422.3625750541687
98,4,422.4833641052246
98,2,422.5796401500702
98,3,422.7275609970093
98,1,422.8442840576172
98,"['1', '4', '2', '3', '1']",422.8445508480072
101,2,444.51980113983154
103,3,448.06159806251526
105,4,449.6673102378845
107,1,452.145051240921
108,4,462.85005593299866
108,3,463.07095193862915
108,2,463.1429078578949
108,1,463.3737061023712
108,4,463.64628314971924
108,"['4', '3', '2', '1', '4']",463.64655590057373
111,3,485.3663821220398
113,1,487.82530999183655
115,2,490.4332449436188
117,4,491.93528294563293
118,4,502.63487911224365
118,3,502.8419051170349
118,2,502.91380310058594
118,1,503.0589392185211
118,4,503.2138600349426
118,"['4', '3', '2', '1', '4']",503.2141098976135
