Step,Event_Type,Stimulus,display_seconds,start_seconds
119,single text,,0.0,523.952419757843
119,single text,1 trial Ready,0.0,527.6349246501923
0,single text,3,0.5,0.01548910140991211
1,ISI,+,2,0.5279760360717773
2,single text,1,0.5,2.5477089881896973
3,ISI,+,2,3.0611672401428223
4,single text,2,0.5,5.0814368724823
5,ISI,+,1,5.594433069229126
6,single text,4,0.5,6.61123514175415
7,Bundle Interval,...,10,7.1285881996154785
8,seq texts,"['1', '4', '2', '3', '1']",15,17.167113065719604
9,ISI,+,21,18.628711938858032
10,single text,4,0.5,39.66704702377319
11,ISI,+,2,40.196492195129395
12,single text,2,0.5,42.22710990905762
13,ISI,+,1,42.743748903274536
14,single text,3,0.5,43.76020622253418
15,ISI,+,3,44.276808977127075
16,single text,1,0.5,47.29876208305359
17,Bundle Interval,...,10,47.82700705528259
18,seq texts,"['4', '3', '2', '1', '4']",15,57.8657329082489
19,ISI,+,21,60.062420129776
20,single text,2,0.5,81.09960508346558
21,ISI,+,4,81.62922811508179
22,single text,4,0.5,85.64300012588501
23,ISI,+,1,86.15939402580261
24,single text,1,0.5,87.17625498771667
25,ISI,+,4,87.69679307937622
26,single text,3,0.5,91.72983717918396
27,Bundle Interval,...,10,92.24305319786072
28,seq texts,"['1', '4', '2', '3', '1']",15,102.28743600845337
29,ISI,+,21,104.16091799736023
30,single text,1,0.5,125.18108105659485
31,ISI,+,3,125.69326710700989
32,single text,3,0.5,128.70972180366516
33,ISI,+,8,129.22550415992737
34,single text,2,0.5,137.26366996765137
35,ISI,+,5,137.7760500907898
36,single text,4,0.5,142.79871892929077
37,Bundle Interval,...,10,143.32717299461365
38,seq texts,"['1', '4', '2', '3', '1']",15,153.36432003974915
39,ISI,+,21,159.21357011795044
40,single text,4,0.5,180.24854612350464
41,ISI,+,4,180.77711701393127
42,single text,1,0.5,184.80773091316223
43,ISI,+,3,185.3242781162262
44,single text,2,0.5,188.34222388267517
45,ISI,+,2,188.8626251220703
46,single text,3,0.5,190.87806391716003
47,Bundle Interval,...,10,191.40758109092712
48,seq texts,"['4', '3', '2', '1', '4']",15,201.44656014442444
49,ISI,+,21,203.71105003356934
50,single text,4,0.5,224.72862315177917
51,ISI,+,2,225.24110388755798
52,single text,2,0.5,227.260724067688
53,ISI,+,6,227.79043197631836
54,single text,1,0.5,233.82827496528625
55,ISI,+,1,234.34090399742126
56,single text,3,0.5,235.35756301879883
57,Bundle Interval,...,10,235.87667989730835
58,seq texts,"['4', '3', '2', '1', '4']",15,245.90949821472168
59,ISI,+,21,247.40967917442322
60,single text,1,0.5,268.44596791267395
61,ISI,+,1,268.97535014152527
62,single text,2,0.5,270.00599002838135
63,ISI,+,7,270.5264210700989
64,single text,3,0.5,277.5432209968567
65,ISI,+,5,278.0589761734009
66,single text,4,0.5,283.0766680240631
67,Bundle Interval,...,10,283.5897250175476
68,seq texts,"['4', '3', '2', '1', '4']",15,293.62789821624756
69,ISI,+,21,294.94028210639954
70,single text,3,0.5,315.9774532318115
71,ISI,+,4,316.50776195526123
72,single text,2,0.5,320.5249810218811
73,ISI,+,1,321.03843998908997
74,single text,4,0.5,322.05520486831665
75,ISI,+,4,322.57464599609375
76,single text,1,0.5,326.5920741558075
77,Bundle Interval,...,10,327.12155508995056
78,seq texts,"['1', '4', '2', '3', '1']",15,337.16218304634094
79,ISI,+,21,338.5056462287903
80,single text,1,0.5,359.5261549949646
81,ISI,+,2,360.05697107315063
82,single text,4,0.5,362.0740261077881
83,ISI,+,5,362.58747386932373
84,single text,2,0.5,367.6052029132843
85,ISI,+,6,368.12170815467834
86,single text,3,0.5,374.1572811603546
87,Bundle Interval,...,10,374.6714608669281
88,seq texts,"['4', '3', '2', '1', '4']",15,384.70709896087646
89,ISI,+,21,386.17312502861023
90,single text,4,0.5,407.2100591659546
91,ISI,+,4,407.72112584114075
92,single text,3,0.5,411.740690946579
93,ISI,+,1,412.2528898715973
94,single text,2,0.5,413.26986503601074
95,ISI,+,1,413.78971910476685
96,single text,1,0.5,414.8198449611664
97,Bundle Interval,...,10,415.3362729549408
98,seq texts,"['4', '3', '2', '1', '4']",15,425.35461807250977
99,ISI,+,21,426.92124104499817
100,single text,3,0.5,447.958270072937
101,ISI,+,1,448.4700951576233
102,single text,4,0.5,449.4860339164734
103,ISI,+,1,450.0057280063629
104,single text,1,0.5,451.01890993118286
105,ISI,+,1,451.5387499332428
106,single text,2,0.5,452.56909799575806
107,Bundle Interval,...,10,453.08859610557556
108,seq texts,"['1', '4', '2', '3', '1']",15,463.1244559288025
109,ISI,+,21,464.68797492980957
110,single text,3,0.5,485.7214779853821
111,ISI,+,1,486.23620986938477
112,single text,4,0.5,487.25124502182007
113,ISI,+,3,487.76839995384216
114,single text,2,0.5,490.78904819488525
115,ISI,+,2,491.3012008666992
116,single text,1,0.5,493.3229389190674
117,Bundle Interval,...,10,493.8515031337738
118,seq texts,"['1', '4', '2', '3', '1']",15,503.89259910583496
119,ISI,+,21,505.3720781803131
-1,End,End,0,526.3750829696655
