Step,Response,seconds
1,3,1.1278941631317139
3,1,3.162079095840454
5,2,5.828316926956177
7,4,7.483199119567871
8,1,17.932781219482422
8,4,18.091670036315918
8,2,18.26656413078308
8,3,18.447395086288452
8,1,18.609663009643555
8,"['1', '4', '2', '3', '1']",18.60993003845215
14,4,43.85041689872742
15,3,44.42405819892883
18,4,59.18479108810425
18,3,59.39713525772095
18,2,59.615212202072144
18,1,59.84706997871399
18,4,60.03597283363342
18,"['4', '3', '2', '1', '4']",60.036218881607056
23,4,86.17323803901672
25,1,87.90279817581177
26,3,92.15287399291992
28,1,103.17348504066467
28,4,103.3712100982666
28,2,103.72176909446716
28,3,103.9672498703003
28,1,104.1322410106659
28,"['1', '4', '2', '3', '1']",104.13249111175537
29,1,122.93473601341248
33,4,129.26740622520447
35,2,137.87763786315918
37,4,143.9067039489746
38,1,158.48304104804993
38,4,158.62073493003845
38,2,158.8398621082306
38,3,159.01807594299316
38,1,159.19089603424072
38,"['1', '4', '2', '3', '1']",159.191162109375
43,1,185.5074701309204
43,1,185.75385808944702
45,2,188.91249585151672
47,3,191.62590909004211
48,4,202.77666902542114
48,3,203.05604720115662
48,2,203.267587184906
48,1,203.4825050830841
48,4,203.69158005714417
48,"['4', '3', '2', '1', '4']",203.69183206558228
51,4,225.51916813850403
53,2,227.91707706451416
55,1,234.66960501670837
57,3,236.2352499961853
58,4,246.66673684120178
58,3,246.83953595161438
58,2,247.02072596549988
58,1,247.1985969543457
58,4,247.37864923477173
58,"['4', '3', '2', '1', '4']",247.3789200782776
61,1,269.11690306663513
63,2,270.8150210380554
65,3,278.29067301750183
67,4,283.90274691581726
68,4,294.3269100189209
68,3,294.4585380554199
68,2,294.5783450603485
68,1,294.7676191329956
68,4,294.92244505882263
68,"['4', '3', '2', '1', '4']",294.9227149486542
71,3,316.6423099040985
73,2,321.21539092063904
75,4,322.7514691352844
77,1,327.15716314315796
78,1,337.90526008605957
78,4,338.04915618896484
78,2,338.19523215293884
78,3,338.35100197792053
78,1,338.48816418647766
78,"['1', '4', '2', '3', '1']",338.48842906951904
81,1,360.3628659248352
83,4,362.8868989944458
85,2,368.21681213378906
85,2,373.6684491634369
87,3,374.85746002197266
88,4,385.4779350757599
88,3,385.63517212867737
88,2,385.80715012550354
88,1,385.9800729751587
88,4,386.1500082015991
88,"['4', '3', '2', '1', '4']",386.15027689933777
91,4,407.8755760192871
93,3,412.444363117218
95,2,414.4479811191559
97,1,415.4486520290375
98,4,426.1610131263733
98,3,426.3416211605072
98,2,426.5096011161804
98,1,426.697793006897
98,4,426.903715133667
98,"['4', '3', '2', '1', '4']",426.9039671421051
101,3,448.63184213638306
103,4,450.0613839626312
105,1,451.7146210670471
107,2,453.18704891204834
108,1,463.990247964859
108,4,464.11892318725586
108,2,464.3885750770569
108,3,464.5490200519562
108,1,464.66588592529297
108,"['1', '4', '2', '3', '1']",464.6661550998688
113,4,488.0277111530304
115,2,491.4878079891205
117,1,494.03085494041443
118,1,504.5287308692932
118,4,504.88115906715393
118,2,505.03166484832764
118,3,505.2115089893341
118,1,505.34057807922363
118,"['1', '4', '2', '3', '1']",505.34083318710327
