Step,Event_Type,Stimulus,display_seconds,start_seconds
119,single text,,0.0,526.3896901607513
119,single text,2 trial Ready,0.0,529.0211811065674
0,single text,4,0.5,0.01932501792907715
1,ISI,+,4,0.5322709083557129
2,single text,1,0.5,4.552479028701782
3,ISI,+,3,5.082222938537598
4,single text,2,0.5,8.101970911026001
5,ISI,+,2,8.615533828735352
6,single text,3,0.5,10.63534688949585
7,Bundle Interval,...,10,11.148689031600952
8,seq texts,"['1', '4', '2', '3', '1']",15,21.185678958892822
9,ISI,+,21,22.90279793739319
10,single text,3,0.5,43.93727397918701
11,ISI,+,2,44.46753478050232
12,single text,1,0.5,46.5026581287384
13,ISI,+,2,47.01475691795349
14,single text,2,0.5,49.03448820114136
15,ISI,+,1,49.54808592796326
16,single text,4,0.5,50.56453204154968
17,Bundle Interval,...,10,51.08447289466858
18,seq texts,"['4', '3', '2', '1', '4']",15,61.11999797821045
19,ISI,+,21,63.252131938934326
20,single text,3,0.5,84.28643488883972
21,ISI,+,4,84.81671500205994
22,single text,2,0.5,88.85098814964294
23,ISI,+,1,89.3640468120575
24,single text,4,0.5,90.38051795959473
25,ISI,+,4,90.9010078907013
26,single text,1,0.5,94.93431782722473
27,Bundle Interval,...,10,95.46379899978638
28,seq texts,"['1', '4', '2', '3', '1']",15,105.50296592712402
29,ISI,+,21,106.96637487411499
30,single text,2,0.5,127.98520874977112
31,ISI,+,4,128.49748992919922
32,single text,4,0.5,132.51649379730225
33,ISI,+,1,133.02960681915283
34,single text,1,0.5,134.04627203941345
35,ISI,+,4,134.563129901886
36,single text,3,0.5,138.5810649394989
37,Bundle Interval,...,10,139.0991189479828
38,seq texts,"['4', '3', '2', '1', '4']",15,149.1355390548706
39,ISI,+,21,150.9498860836029
40,single text,1,0.5,171.96633887290955
41,ISI,+,1,172.47929501533508
42,single text,2,0.5,173.4956760406494
43,ISI,+,7,174.0150158405304
44,single text,3,0.5,181.05121111869812
45,ISI,+,5,181.56371688842773
46,single text,4,0.5,186.58332180976868
47,Bundle Interval,...,10,187.09599208831787
48,seq texts,"['4', '3', '2', '1', '4']",15,197.11365413665771
49,ISI,+,21,198.5987458229065
50,single text,2,0.5,219.63431978225708
51,ISI,+,3,220.16426706314087
52,single text,4,0.5,223.19909405708313
53,ISI,+,1,223.7280399799347
54,single text,3,0.5,224.7444350719452
55,ISI,+,3,225.26461911201477
56,single text,1,0.5,228.28118205070496
57,Bundle Interval,...,10,228.79449701309204
58,seq texts,"['1', '4', '2', '3', '1']",15,238.83365893363953
59,ISI,+,21,240.36500191688538
60,single text,2,0.5,261.39916014671326
61,ISI,+,5,261.9114067554474
62,single text,1,0.5,266.9314589500427
63,ISI,+,3,267.4458689689636
64,single text,3,0.5,270.46404790878296
65,ISI,+,2,270.9767949581146
66,single text,4,0.5,272.99725914001465
67,Bundle Interval,...,10,273.52695989608765
68,seq texts,"['4', '3', '2', '1', '4']",15,283.5678060054779
69,ISI,+,21,286.514212846756
70,single text,4,0.5,307.54998207092285
71,ISI,+,6,308.07907581329346
72,single text,1,0.5,314.11853790283203
73,ISI,+,5,314.6456241607666
74,single text,3,0.5,319.679368019104
75,ISI,+,2,320.19761896133423
76,single text,2,0.5,322.2126741409302
77,Bundle Interval,...,10,322.72621607780457
78,seq texts,"['1', '4', '2', '3', '1']",15,332.7673738002777
79,ISI,+,21,334.0284297466278
80,single text,1,0.5,355.0648441314697
81,ISI,+,2,355.5948407649994
82,single text,4,0.5,357.62971091270447
83,ISI,+,5,358.1421158313751
84,single text,2,0.5,363.1633417606354
85,ISI,+,6,363.69448614120483
86,single text,3,0.5,369.7284197807312
87,Bundle Interval,...,10,370.24458599090576
88,seq texts,"['4', '3', '2', '1', '4']",15,380.280925989151
89,ISI,+,21,382.11066794395447
90,single text,1,0.5,403.1476719379425
91,ISI,+,1,403.6587178707123
92,single text,2,0.5,404.67449402809143
93,ISI,+,5,405.1949770450592
94,single text,4,0.5,410.2287669181824
95,ISI,+,2,410.75973677635193
96,single text,3,0.5,412.77875685691833
97,Bundle Interval,...,10,413.3076150417328
98,seq texts,"['1', '4', '2', '3', '1']",15,423.34631085395813
99,ISI,+,21,424.69361686706543
100,single text,2,0.5,445.7309069633484
101,ISI,+,2,446.25990986824036
102,single text,3,0.5,448.29427003860474
103,ISI,+,4,448.8070969581604
104,single text,1,0.5,452.82682490348816
105,ISI,+,1,453.33988785743713
106,single text,4,0.5,454.35692501068115
107,Bundle Interval,...,10,454.8771221637726
108,seq texts,"['1', '4', '2', '3', '1']",15,464.9118709564209
109,ISI,+,21,466.2411849498749
110,single text,2,0.5,487.2610559463501
111,ISI,+,3,487.7739758491516
112,single text,3,0.5,490.79298090934753
113,ISI,+,1,491.30606389045715
114,single text,4,0.5,492.32278990745544
115,ISI,+,2,492.8426728248596
116,single text,1,0.5,494.87267684936523
117,Bundle Interval,...,10,495.38934993743896
118,seq texts,"['4', '3', '2', '1', '4']",15,505.4279968738556
119,ISI,+,21,507.0236611366272
-1,End,End,0,528.0277950763702
