Step,Event_Type,Stimulus,display_seconds,start_seconds
119,single text,,0.0,513.7924060821533
119,single text,4 trial Ready,0.0,526.8429942131042
0,single text,3,0.5,0.02287578582763672
1,ISI,+,1,0.5368750095367432
2,single text,1,0.5,1.553574800491333
3,ISI,+,3,2.073636770248413
4,single text,4,0.5,5.103446960449219
5,ISI,+,3,5.6200110912323
6,single text,2,0.5,8.641484022140503
7,Bundle Interval,...,10,9.170061826705933
8,seq texts,"['1', '4', '2', '3', '1']",15,19.206501960754395
9,ISI,+,21,20.40603280067444
10,single text,3,0.5,41.44296979904175
11,ISI,+,1,41.97238492965698
12,single text,4,0.5,42.98635697364807
13,ISI,+,3,43.503023862838745
14,single text,2,0.5,46.524035930633545
15,ISI,+,2,47.03628492355347
16,single text,1,0.5,49.05681490898132
17,Bundle Interval,...,10,49.56951403617859
18,seq texts,"['4', '3', '2', '1', '4']",15,59.60953688621521
19,ISI,+,21,61.15417194366455
20,single text,1,0.5,82.19027781486511
21,ISI,+,1,82.72168183326721
22,single text,2,0.5,83.73567700386047
23,ISI,+,5,84.25532484054565
24,single text,4,0.5,89.28885102272034
25,ISI,+,2,89.80431795120239
26,single text,3,0.5,91.82352590560913
27,Bundle Interval,...,10,92.35205388069153
28,seq texts,"['1', '4', '2', '3', '1']",15,102.37369179725647
29,ISI,+,21,103.95468497276306
30,single text,4,0.5,124.99305391311646
31,ISI,+,4,125.52098488807678
32,single text,3,0.5,129.53806900978088
33,ISI,+,1,130.0513401031494
34,single text,2,0.5,131.06856298446655
35,ISI,+,1,131.58806085586548
36,single text,1,0.5,132.60108494758606
37,Bundle Interval,...,10,133.12126183509827
38,seq texts,"['4', '3', '2', '1', '4']",15,143.15496706962585
39,ISI,+,21,144.80399584770203
40,single text,4,0.5,165.84014582633972
41,ISI,+,7,166.3702940940857
42,single text,3,0.5,173.40988492965698
43,ISI,+,1,173.936842918396
44,single text,1,0.5,174.96750903129578
45,ISI,+,1,175.48842191696167
46,single text,2,0.5,176.51752972602844
47,Bundle Interval,...,10,177.0373809337616
48,seq texts,"['4', '3', '2', '1', '4']",15,187.07265996932983
49,ISI,+,21,188.61826372146606
50,single text,1,0.5,209.65672874450684
51,ISI,+,2,210.18622994422913
52,single text,4,0.5,212.2208697795868
53,ISI,+,1,212.7336368560791
54,single text,3,0.5,213.75016975402832
55,ISI,+,1,214.2699089050293
56,single text,2,0.5,215.30018377304077
57,Bundle Interval,...,10,215.8204448223114
58,seq texts,"['1', '4', '2', '3', '1']",15,225.85578989982605
59,ISI,+,21,227.21927976608276
60,single text,2,0.5,248.25603580474854
61,ISI,+,4,248.78559684753418
62,single text,4,0.5,252.81988286972046
63,ISI,+,1,253.33268570899963
64,single text,1,0.5,254.34926581382751
65,ISI,+,4,254.87002182006836
66,single text,3,0.5,258.88272881507874
67,Bundle Interval,...,10,259.39917492866516
68,seq texts,"['4', '3', '2', '1', '4']",15,269.438236951828
69,ISI,+,21,271.419686794281
70,single text,2,0.5,292.455286026001
71,ISI,+,3,292.98481488227844
72,single text,4,0.5,296.0024359226227
73,ISI,+,1,296.5153408050537
74,single text,3,0.5,297.53247904777527
75,ISI,+,3,298.05176877975464
76,single text,1,0.5,301.06838393211365
77,Bundle Interval,...,10,301.5817747116089
78,seq texts,"['1', '4', '2', '3', '1']",15,311.621465921402
79,ISI,+,21,313.2845358848572
80,single text,1,0.5,334.3030757904053
81,ISI,+,2,334.8343138694763
82,single text,4,0.5,336.86918091773987
83,ISI,+,5,337.3813087940216
84,single text,2,0.5,342.4023208618164
85,ISI,+,6,342.91676902770996
86,single text,3,0.5,348.9362449645996
87,Bundle Interval,...,10,349.46661472320557
88,seq texts,"['4', '3', '2', '1', '4']",15,359.50426197052
89,ISI,+,21,360.86668705940247
90,single text,3,0.5,381.9011478424072
91,ISI,+,4,382.4150810241699
92,single text,2,0.5,386.4347279071808
93,ISI,+,1,386.94713592529297
94,single text,4,0.5,387.9638478755951
95,ISI,+,4,388.48036193847656
96,single text,1,0.5,392.4977390766144
97,Bundle Interval,...,10,393.013808965683
98,seq texts,"['1', '4', '2', '3', '1']",15,403.05341601371765
99,ISI,+,21,404.28289580345154
100,single text,3,0.5,425.31891989707947
101,ISI,+,1,425.8310089111328
102,single text,4,0.5,426.846599817276
103,ISI,+,1,427.3671188354492
104,single text,1,0.5,428.39759492874146
105,ISI,+,1,428.9166648387909
106,single text,2,0.5,429.94663667678833
107,Bundle Interval,...,10,430.4661409854889
108,seq texts,"['1', '4', '2', '3', '1']",15,440.5002119541168
109,ISI,+,21,441.8495817184448
110,single text,1,0.5,462.8672399520874
111,ISI,+,4,463.39866280555725
112,single text,3,0.5,467.4291310310364
113,ISI,+,2,467.9457778930664
114,single text,4,0.5,469.9624619483948
115,ISI,+,8,470.47915983200073
116,single text,2,0.5,478.5006048679352
117,Bundle Interval,...,10,479.03163385391235
118,seq texts,"['4', '3', '2', '1', '4']",15,489.0681610107422
119,ISI,+,21,491.3828287124634
-1,End,End,0,512.3888010978699
