Step,Response,seconds
1,4,0.6249947547912598
2,2,3.026193857192993
5,1,9.736251831054688
7,3,11.64146900177002
8,4,21.70726203918457
8,3,21.837541818618774
8,2,21.95317792892456
8,1,22.099241971969604
8,4,22.211112022399902
8,"['4', '3', '2', '1', '4']",22.21135377883911
11,4,43.85718607902527
13,2,46.362144947052
14,3,47.83749508857727
17,1,51.74488091468811
18,4,62.071786880493164
18,3,62.237679958343506
18,2,62.38196086883545
18,1,62.564801931381226
18,4,62.712661027908325
18,"['4', '3', '2', '1', '4']",62.7129328250885
21,3,84.45266580581665
23,2,88.96804571151733
25,4,90.55490303039551
27,1,95.01608610153198
28,1,105.86073184013367
28,4,105.96029901504517
28,2,106.0992660522461
28,3,106.26344871520996
28,1,106.38132572174072
28,"['1', '4', '2', '3', '1']",106.38158178329468
31,1,128.08907985687256
33,3,132.67549085617065
35,4,135.12119889259338
37,2,143.68996500968933
38,4,154.31401801109314
38,3,154.4618639945984
38,2,154.57407093048096
38,1,154.73798894882202
38,4,154.87795686721802
38,"['4', '3', '2', '1', '4']",154.87821793556213
41,1,176.52550983428955
43,2,178.0532968044281
45,3,185.70876288414001
47,4,191.1780149936676
48,1,202.06621599197388
48,4,202.2710428237915
48,2,202.48330807685852
48,3,202.62724590301514
48,1,202.75098490715027
48,"['1', '4', '2', '3', '1']",202.75126671791077
51,2,224.56569504737854
53,4,228.00828075408936
55,3,229.46895384788513
57,1,232.97315001487732
58,4,243.74610686302185
58,3,243.92931485176086
58,1,244.25977087020874
58,4,244.43421077728271
58,4,245.69108390808105
58,"['4', '3', '1', '4', '4']",245.69135689735413
59,3,246.04281878471375
59,2,253.19875192642212
61,3,267.62605381011963
62,1,269.7325019836426
65,2,272.3884859085083
67,4,273.9363887310028
68,4,284.7048668861389
68,3,284.86966609954834
68,2,284.9533460140228
68,1,285.10171604156494
68,4,285.25856494903564
68,"['4', '3', '2', '1', '4']",285.2588469982147
69,2,292.2846190929413
71,3,306.9905378818512
73,4,308.5593070983887
75,1,310.0972909927368
77,2,311.6502568721771
78,1,322.13345193862915
78,4,322.25033807754517
78,2,322.4223189353943
78,3,322.5542459487915
78,1,322.6663067340851
78,"['1', '4', '2', '3', '1']",322.6665759086609
81,4,344.5038757324219
83,3,348.9228768348694
85,2,350.88267397880554
87,1,352.03464698791504
88,1,362.52387404441833
88,4,362.6602430343628
88,2,362.78838992118835
88,3,362.9324748516083
88,1,363.0404107570648
88,"['1', '4', '2', '3', '1']",363.04066491127014
91,4,384.84547996520996
93,1,389.2266607284546
95,2,392.7660810947418
97,3,395.34035897254944
98,4,406.2696120738983
98,3,406.40553283691406
98,2,406.4376618862152
98,1,406.59595584869385
98,3,406.7506890296936
98,"['4', '3', '2', '1', '3']",406.75095295906067
101,2,428.42996191978455
103,3,431.8887617588043
105,4,433.6206741333008
107,1,436.00180888175964
108,1,446.5076849460602
108,4,446.6206588745117
108,2,446.78159189224243
108,3,446.93351674079895
108,1,447.04849886894226
108,"['1', '4', '2', '3', '1']",447.048770904541
111,2,468.83452796936035
113,4,473.2780728340149
115,1,474.78890085220337
117,3,479.548015832901
118,1,489.9129259586334
118,4,490.0637090206146
118,2,490.22486996650696
118,3,490.4256329536438
118,1,490.5706398487091
118,"['1', '4', '2', '3', '1']",490.570907831192
119,2,494.47928404808044
