Step,Event_Type,Stimulus,display_seconds,start_seconds
-1,single text,,0.0,0.04846906661987305
-1,single text,0 trial Ready,0.0,2.7169270515441895
0,single text,1,0.5,0.027695178985595703
1,ISI,+,1,0.5430951118469238
2,single text,4,0.5,1.5592241287231445
3,ISI,+,3,2.0753750801086426
4,single text,2,0.5,5.095645189285278
5,ISI,+,3,5.609107971191406
6,single text,3,0.5,8.628551244735718
7,Bundle Interval,...,10,9.142210960388184
8,seq texts,"['4', '3', '2', '1', '4']",15,19.18589210510254
9,ISI,+,21,20.860307931900024
10,single text,1,0.5,41.880192041397095
11,ISI,+,6,42.411020040512085
12,single text,3,0.5,48.445910930633545
13,ISI,+,1,48.981330156326294
14,single text,4,0.5,50.00825905799866
15,ISI,+,2,50.52891302108765
16,single text,2,0.5,52.561676025390625
17,Bundle Interval,...,10,53.091437101364136
18,seq texts,"['1', '4', '2', '3', '1']",15,63.130857944488525
19,ISI,+,21,64.44521307945251
20,single text,1,0.5,85.47883105278015
21,ISI,+,1,85.9919548034668
22,single text,2,0.5,87.00771713256836
23,ISI,+,5,87.52763795852661
24,single text,4,0.5,92.56151294708252
25,ISI,+,2,93.09294009208679
26,single text,3,0.5,95.1115779876709
27,Bundle Interval,...,10,95.64094519615173
28,seq texts,"['1', '4', '2', '3', '1']",15,105.65776824951172
29,ISI,+,21,107.24132013320923
30,single text,2,0.5,128.26321506500244
31,ISI,+,6,128.79295706748962
32,single text,1,0.5,134.81150698661804
33,ISI,+,5,135.32647705078125
34,single text,3,0.5,140.34303092956543
35,ISI,+,2,140.85788321495056
36,single text,4,0.5,142.87740302085876
37,Bundle Interval,...,10,143.40688300132751
38,seq texts,"['4', '3', '2', '1', '4']",15,153.44734501838684
39,ISI,+,21,154.59132504463196
40,single text,1,0.5,175.61142015457153
41,ISI,+,1,176.14184999465942
42,single text,2,0.5,177.1566240787506
43,ISI,+,4,177.67667603492737
44,single text,3,0.5,181.70946097373962
45,ISI,+,1,182.22296500205994
46,single text,4,0.5,183.23948311805725
47,Bundle Interval,...,10,183.75901317596436
48,seq texts,"['1', '4', '2', '3', '1']",15,193.79496121406555
49,ISI,+,21,195.47658324241638
50,single text,2,0.5,216.5124101638794
51,ISI,+,5,217.0235939025879
52,single text,4,0.5,222.04321098327637
53,ISI,+,3,222.55801486968994
54,single text,3,0.5,225.5738091468811
55,ISI,+,2,226.08889389038086
56,single text,1,0.5,228.11004114151
57,Bundle Interval,...,10,228.62216711044312
58,seq texts,"['4', '3', '2', '1', '4']",15,238.66268682479858
59,ISI,+,21,240.242290019989
60,single text,1,0.5,261.2764239311218
61,ISI,+,2,261.7931299209595
62,single text,3,0.5,263.8094000816345
63,ISI,+,1,264.3218128681183
64,single text,2,0.5,265.33844089508057
65,ISI,+,1,265.85831809043884
66,single text,4,0.5,266.8724789619446
67,Bundle Interval,...,10,267.39133620262146
68,seq texts,"['4', '3', '2', '1', '4']",15,277.42786598205566
69,ISI,+,21,279.07628417015076
70,single text,3,0.5,300.1113450527191
71,ISI,+,3,300.6410391330719
72,single text,1,0.5,303.67529702186584
73,ISI,+,1,304.1881070137024
74,single text,4,0.5,305.2048330307007
75,ISI,+,3,305.7256019115448
76,single text,2,0.5,308.7407169342041
77,Bundle Interval,...,10,309.254545211792
78,seq texts,"['1', '4', '2', '3', '1']",15,319.2955369949341
79,ISI,+,21,321.07437682151794
80,single text,4,0.5,342.11207914352417
81,ISI,+,2,342.6221430301666
82,single text,2,0.5,344.6367390155792
83,ISI,+,4,345.1580379009247
84,single text,3,0.5,349.19035482406616
85,ISI,+,1,349.7042238712311
86,single text,1,0.5,350.7206268310547
87,Bundle Interval,...,10,351.24039697647095
88,seq texts,"['4', '3', '2', '1', '4']",15,361.2759118080139
89,ISI,+,21,362.8414499759674
90,single text,3,0.5,383.87563705444336
91,ISI,+,3,384.40647292137146
92,single text,1,0.5,387.4371061325073
93,ISI,+,1,387.9536850452423
94,single text,2,0.5,388.97007989883423
95,ISI,+,2,389.49179315567017
96,single text,4,0.5,391.5233299732208
97,Bundle Interval,...,10,392.0535411834717
98,seq texts,"['1', '4', '2', '3', '1']",15,402.0928170681
99,ISI,+,21,403.589341878891
100,single text,3,0.5,424.6260631084442
101,ISI,+,7,425.13743901252747
102,single text,2,0.5,432.156888961792
103,ISI,+,1,432.66962599754333
104,single text,1,0.5,433.6862919330597
105,ISI,+,1,434.2060010433197
106,single text,4,0.5,435.23694896698
107,Bundle Interval,...,10,435.75588297843933
108,seq texts,"['1', '4', '2', '3', '1']",15,445.7893080711365
109,ISI,+,21,447.0538249015808
110,single text,4,0.5,468.0904350280762
111,ISI,+,4,468.60357093811035
112,single text,3,0.5,472.6222472190857
113,ISI,+,2,473.13582611083984
114,single text,2,0.5,475.1558609008789
115,ISI,+,8,475.6690511703491
116,single text,1,0.5,483.69050097465515
117,Bundle Interval,...,10,484.2217490673065
118,seq texts,"['4', '3', '2', '1', '4']",15,494.2578868865967
119,ISI,+,21,495.50575709342957
-1,End,End,0,516.5084390640259
