Step,Event_Type,Stimulus,display_seconds,start_seconds
119,single text,,0.0,538.1699869632721
119,single text,5 trial Ready,0.0,554.6902990341187
0,single text,3,0.5,0.01914501190185547
1,ISI,+,3,0.533329963684082
2,single text,1,0.5,3.5532760620117188
3,ISI,+,8,4.066612005233765
4,single text,2,0.5,12.087536334991455
5,ISI,+,5,12.60040807723999
6,single text,4,0.5,17.62039303779602
7,Bundle Interval,...,10,18.13524103164673
8,seq texts,"['1', '4', '2', '3', '1']",15,28.17247223854065
9,ISI,+,21,32.32177114486694
10,single text,2,0.5,53.35424017906189
11,ISI,+,4,53.88355731964111
12,single text,3,0.5,57.902183055877686
13,ISI,+,2,58.41584801673889
14,single text,4,0.5,60.43277025222778
15,ISI,+,8,60.948946952819824
16,single text,1,0.5,68.96962523460388
17,Bundle Interval,...,10,69.48305320739746
18,seq texts,"['1', '4', '2', '3', '1']",15,79.5217432975769
19,ISI,+,21,83.70117831230164
20,single text,3,0.5,104.73482298851013
21,ISI,+,5,105.25188207626343
22,single text,4,0.5,110.2660391330719
23,ISI,+,3,110.7837061882019
24,single text,2,0.5,113.80172324180603
25,ISI,+,2,114.31543707847595
26,single text,1,0.5,116.33476710319519
27,Bundle Interval,...,10,116.86484932899475
28,seq texts,"['1', '4', '2', '3', '1']",15,126.88615012168884
29,ISI,+,21,130.54969120025635
30,single text,3,0.5,151.58676934242249
31,ISI,+,3,152.11679697036743
32,single text,2,0.5,155.1344702243805
33,ISI,+,1,155.6475043296814
34,single text,1,0.5,156.66441297531128
35,ISI,+,3,157.18087601661682
36,single text,4,0.5,160.1971652507782
37,Bundle Interval,...,10,160.71431016921997
38,seq texts,"['4', '3', '2', '1', '4']",15,170.73172307014465
39,ISI,+,21,174.71741914749146
40,single text,4,0.5,195.751962184906
41,ISI,+,1,196.26433610916138
42,single text,1,0.5,197.27982902526855
43,ISI,+,1,197.7967631816864
44,single text,2,0.5,198.8136351108551
45,ISI,+,1,199.33005499839783
46,single text,3,0.5,200.349769115448
47,Bundle Interval,...,10,200.86365699768066
48,seq texts,"['4', '3', '2', '1', '4']",15,210.9018051624298
49,ISI,+,21,215.1137249469757
50,single text,4,0.5,236.13075304031372
51,ISI,+,2,236.64978528022766
52,single text,1,0.5,238.68322014808655
53,ISI,+,2,239.21269011497498
54,single text,3,0.5,241.2292070388794
55,ISI,+,1,241.74614930152893
56,single text,2,0.5,242.76273322105408
57,Bundle Interval,...,10,243.27926301956177
58,seq texts,"['4', '3', '2', '1', '4']",15,253.31716012954712
59,ISI,+,21,257.0982999801636
60,single text,1,0.5,278.1344041824341
61,ISI,+,2,278.6463921070099
62,single text,4,0.5,280.6620240211487
63,ISI,+,6,281.1786320209503
64,single text,2,0.5,287.19979310035706
65,ISI,+,1,287.71272826194763
66,single text,3,0.5,288.7287881374359
67,Bundle Interval,...,10,289.2455291748047
68,seq texts,"['4', '3', '2', '1', '4']",15,299.26623702049255
69,ISI,+,21,303.0457661151886
70,single text,3,0.5,324.0660400390625
71,ISI,+,1,324.5791230201721
72,single text,1,0.5,325.59461998939514
73,ISI,+,4,326.1149711608887
74,single text,4,0.5,330.1308972835541
75,ISI,+,1,330.6445450782776
76,single text,2,0.5,331.66115522384644
77,Bundle Interval,...,10,332.1778371334076
78,seq texts,"['1', '4', '2', '3', '1']",15,342.21440625190735
79,ISI,+,21,348.1320011615753
80,single text,4,0.5,369.16742300987244
81,ISI,+,1,369.67778611183167
82,single text,2,0.5,370.69414925575256
83,ISI,+,7,371.21408319473267
84,single text,3,0.5,378.24613213539124
85,ISI,+,5,378.7616982460022
86,single text,1,0.5,383.7796120643616
87,Bundle Interval,...,10,384.3123881816864
88,seq texts,"['1', '4', '2', '3', '1']",15,394.3484470844269
89,ISI,+,21,398.09455013275146
90,single text,2,0.5,419.1138970851898
91,ISI,+,6,419.64538311958313
92,single text,1,0.5,425.6634130477905
93,ISI,+,1,426.1767852306366
94,single text,3,0.5,427.19281697273254
95,ISI,+,2,427.709890127182
96,single text,4,0.5,429.7295880317688
97,Bundle Interval,...,10,430.2422180175781
98,seq texts,"['4', '3', '2', '1', '4']",15,440.281485080719
99,ISI,+,21,443.6270320415497
100,single text,4,0.5,464.6635551452637
101,ISI,+,3,465.1761221885681
102,single text,3,0.5,468.192125082016
103,ISI,+,1,468.7088451385498
104,single text,1,0.5,469.726181268692
105,ISI,+,2,470.2463800907135
106,single text,2,0.5,472.2618260383606
107,Bundle Interval,...,10,472.775502204895
108,seq texts,"['1', '4', '2', '3', '1']",15,482.79521203041077
109,ISI,+,21,486.8265311717987
110,single text,1,0.5,507.8458309173584
111,ISI,+,4,508.37717509269714
112,single text,3,0.5,512.3946969509125
113,ISI,+,1,512.9080011844635
114,single text,2,0.5,513.9244899749756
115,ISI,+,4,514.4446861743927
116,single text,4,0.5,518.4609401226044
117,Bundle Interval,...,10,518.9744210243225
118,seq texts,"['4', '3', '2', '1', '4']",15,529.0130681991577
119,ISI,+,21,532.0088930130005
-1,End,End,0,553.0121202468872
