Step,Response,seconds
1,3,0.9360127449035645
3,1,2.1610360145568848
5,4,5.724458932876587
6,2,9.096426963806152
8,1,19.823579788208008
8,4,19.953986883163452
8,2,20.11297106742859
8,3,20.273156881332397
8,1,20.377814054489136
8,"['1', '4', '2', '3', '1']",20.378084897994995
11,3,42.5683479309082
13,4,43.62450695037842
15,2,47.10684275627136
17,1,49.71165585517883
18,4,60.450217962265015
18,3,60.64942002296448
18,2,60.81397771835327
18,1,60.98799991607666
18,4,61.13604688644409
18,"['4', '3', '2', '1', '4']",61.13631987571716
21,1,82.9655408859253
23,2,84.32460498809814
25,4,90.08342504501343
27,3,92.40520691871643
28,1,103.09753394126892
28,4,103.26025390625
28,2,103.45122289657593
28,3,103.67909574508667
28,1,103.9283709526062
28,"['1', '4', '2', '3', '1']",103.92861890792847
31,4,126.04319286346436
33,3,130.14622497558594
35,2,131.6882679462433
37,1,133.2145390510559
38,4,143.86281776428223
38,3,144.08562684059143
38,2,144.3550317287445
38,1,144.56670999526978
38,4,144.77682280540466
38,"['4', '3', '2', '1', '4']",144.77707481384277
41,4,166.68801999092102
43,3,174.10935974121094
45,1,175.93748998641968
47,2,177.5140097141266
48,4,187.78277683258057
48,3,188.06964898109436
48,2,188.26915001869202
48,1,188.42313981056213
48,4,188.60274195671082
48,"['4', '3', '2', '1', '4']",188.60300588607788
49,2,203.9659867286682
51,1,210.34689903259277
53,4,212.85504388809204
55,3,214.42960691452026
57,2,215.97054886817932
57,2,224.21727991104126
58,1,226.48772883415222
58,4,226.70908975601196
58,2,226.91004586219788
58,3,227.06800484657288
58,1,227.19577193260193
58,"['1', '4', '2', '3', '1']",227.1960859298706
61,2,249.1628999710083
63,4,253.73094987869263
65,1,255.33431601524353
67,3,259.7365138530731
68,4,270.52294874191284
68,3,270.72669076919556
68,2,270.928674697876
68,1,271.11756896972656
68,4,271.40325570106506
68,"['4', '3', '2', '1', '4']",271.40352487564087
71,2,293.42048692703247
73,4,296.62192487716675
75,3,298.15894985198975
77,2,309.52544474601746
78,1,312.55468702316284
78,4,312.73010087013245
78,2,312.9400279521942
78,3,313.1400909423828
78,1,313.2557888031006
78,"['1', '4', '2', '3', '1']",313.25605297088623
81,1,334.98693203926086
83,4,337.8894920349121
84,2,342.86088705062866
88,4,360.11277294158936
88,3,360.328341960907
88,2,360.4533269405365
88,1,360.6575207710266
88,4,360.84325981140137
88,"['4', '3', '2', '1', '4']",360.84353590011597
89,2,376.3140227794647
91,3,382.78309988975525
97,1,393.1994650363922
98,1,403.6202688217163
98,4,403.79123997688293
98,2,404.0053668022156
98,3,404.1251368522644
98,1,404.25721287727356
98,"['1', '4', '2', '3', '1']",404.25746488571167
101,3,425.8710467815399
103,4,427.37402296066284
105,1,428.92013692855835
107,2,430.65425992012024
108,1,441.2516589164734
108,4,441.31692600250244
108,2,441.57680583000183
108,3,441.70814394950867
108,1,441.83196902275085
108,"['1', '4', '2', '3', '1']",441.8322389125824
117,2,479.36785101890564
118,4,490.76542377471924
118,3,490.93740582466125
118,2,491.0214378833771
118,1,491.198561668396
118,4,491.3514597415924
118,"['4', '3', '2', '1', '4']",491.3517220020294
