Step,Event_Type,Stimulus,display_seconds,start_seconds
119,single text,,0.0,539.8738560676575
119,single text,3 trial Ready,0.0,547.5565571784973
0,single text,3,0.5,0.01760697364807129
1,ISI,+,1,0.5313849449157715
2,single text,1,0.5,1.552436113357544
3,ISI,+,4,2.065049886703491
4,single text,4,0.5,6.084553956985474
5,ISI,+,1,6.598037004470825
6,single text,2,0.5,7.614600896835327
7,Bundle Interval,...,10,8.134492874145508
8,seq texts,"['1', '4', '2', '3', '1']",15,18.16940712928772
9,ISI,+,21,21.434363842010498
10,single text,2,0.5,42.46932411193848
11,ISI,+,4,43.000256061553955
12,single text,4,0.5,47.01673698425293
13,ISI,+,1,47.531065940856934
14,single text,3,0.5,48.54757213592529
15,ISI,+,1,49.06406784057617
16,single text,1,0.5,50.08395195007324
17,Bundle Interval,...,10,50.61394214630127
18,seq texts,"['1', '4', '2', '3', '1']",15,60.653318881988525
19,ISI,+,21,64.39916181564331
20,single text,1,0.5,85.41447401046753
21,ISI,+,4,85.93374395370483
22,single text,2,0.5,89.96633291244507
23,ISI,+,1,90.47979283332825
24,single text,4,0.5,91.49651193618774
25,ISI,+,4,92.01323294639587
26,single text,3,0.5,96.03407001495361
27,Bundle Interval,...,10,96.56319999694824
28,seq texts,"['4', '3', '2', '1', '4']",15,106.60128211975098
29,ISI,+,21,109.49774503707886
30,single text,1,0.5,130.5172848701477
31,ISI,+,4,131.04838299751282
32,single text,3,0.5,135.065762758255
33,ISI,+,1,135.57917404174805
34,single text,2,0.5,136.59565019607544
35,ISI,+,4,137.1162350177765
36,single text,4,0.5,141.14706301689148
37,Bundle Interval,...,10,141.66529393196106
38,seq texts,"['4', '3', '2', '1', '4']",15,151.70026302337646
39,ISI,+,21,154.66234493255615
40,single text,1,0.5,175.6830759048462
41,ISI,+,2,176.21426391601562
42,single text,3,0.5,178.23156595230103
43,ISI,+,5,178.7451457977295
44,single text,4,0.5,183.7658200263977
45,ISI,+,6,184.29757595062256
46,single text,2,0.5,190.33112788200378
47,Bundle Interval,...,10,190.84596419334412
48,seq texts,"['1', '4', '2', '3', '1']",15,200.88233184814453
49,ISI,+,21,204.64736008644104
50,single text,1,0.5,225.68642377853394
51,ISI,+,2,226.21338295936584
52,single text,4,0.5,228.2305338382721
53,ISI,+,6,228.7442009449005
54,single text,2,0.5,234.76424980163574
55,ISI,+,1,235.28023195266724
56,single text,3,0.5,236.29389190673828
57,Bundle Interval,...,10,236.81120109558105
58,seq texts,"['4', '3', '2', '1', '4']",15,246.83194994926453
59,ISI,+,21,249.91395783424377
60,single text,2,0.5,270.94899702072144
61,ISI,+,1,271.4793848991394
62,single text,1,0.5,272.49327993392944
63,ISI,+,3,273.0101840496063
64,single text,4,0.5,276.0312149524689
65,ISI,+,3,276.5434889793396
66,single text,3,0.5,279.56297492980957
67,Bundle Interval,...,10,280.0770220756531
68,seq texts,"['4', '3', '2', '1', '4']",15,290.1145348548889
69,ISI,+,21,294.36163997650146
70,single text,4,0.5,315.37986993789673
71,ISI,+,1,315.911936044693
72,single text,2,0.5,316.92600893974304
73,ISI,+,7,317.44576692581177
74,single text,3,0.5,324.4606900215149
75,ISI,+,5,324.98047494888306
76,single text,1,0.5,329.9963390827179
77,Bundle Interval,...,10,330.52780294418335
78,seq texts,"['4', '3', '2', '1', '4']",15,340.56436586380005
79,ISI,+,21,343.7463490962982
80,single text,2,0.5,364.7822480201721
81,ISI,+,6,365.3109247684479
82,single text,1,0.5,371.344722032547
83,ISI,+,1,371.8607838153839
84,single text,3,0.5,372.874685049057
85,ISI,+,2,373.3916218280792
86,single text,4,0.5,375.4123249053955
87,Bundle Interval,...,10,375.94168615341187
88,seq texts,"['1', '4', '2', '3', '1']",15,385.9784860610962
89,ISI,+,21,390.6771311759949
90,single text,2,0.5,411.7107379436493
91,ISI,+,4,412.23146295547485
92,single text,3,0.5,416.2609338760376
93,ISI,+,2,416.77424788475037
94,single text,4,0.5,418.79434609413147
95,ISI,+,8,419.30749011039734
96,single text,1,0.5,427.3284969329834
97,Bundle Interval,...,10,427.84143900871277
98,seq texts,"['4', '3', '2', '1', '4']",15,437.8773889541626
99,ISI,+,21,441.3748390674591
100,single text,4,0.5,462.41233801841736
101,ISI,+,2,462.94253492355347
102,single text,3,0.5,464.9600160121918
103,ISI,+,1,465.4734101295471
104,single text,2,0.5,466.4898109436035
105,ISI,+,3,467.00963401794434
106,single text,1,0.5,470.02610993385315
107,Bundle Interval,...,10,470.54009103775024
108,seq texts,"['1', '4', '2', '3', '1']",15,480.57834815979004
109,ISI,+,21,484.77448987960815
110,single text,3,0.5,505.80892610549927
111,ISI,+,2,506.3235740661621
112,single text,4,0.5,508.3424310684204
113,ISI,+,1,508.85643196105957
114,single text,1,0.5,509.8726649284363
115,ISI,+,1,510.38903617858887
116,single text,2,0.5,511.40587401390076
117,Bundle Interval,...,10,511.92281699180603
118,seq texts,"['1', '4', '2', '3', '1']",15,521.943470954895
119,ISI,+,21,527.0588519573212
-1,End,End,0,548.0644800662994
