Step,Event_Type,Stimulus,display_seconds,start_seconds
-1,single text,,0.0,0.08208799362182617
-1,single text,0 trial Ready,0.0,4.128590822219849
0,single text,2,0.5,0.01994800567626953
1,ISI,+,1,0.5356321334838867
2,single text,1,0.5,1.5519328117370605
3,ISI,+,3,2.068647861480713
4,single text,4,0.5,5.085270881652832
5,ISI,+,3,5.601901054382324
6,single text,3,0.5,8.621969938278198
7,Bundle Interval,...,10,9.135198831558228
8,seq texts,"['1', '4', '2', '3', '1']",15,19.15572690963745
9,ISI,+,21,23.821624994277954
10,single text,2,0.5,44.85621094703674
11,ISI,+,6,45.38737678527832
12,single text,1,0.5,51.422816038131714
13,ISI,+,1,51.953815937042236
14,single text,3,0.5,52.967957973480225
15,ISI,+,2,53.48453497886658
16,single text,4,0.5,55.50439500808716
17,Bundle Interval,...,10,56.03539299964905
18,seq texts,"['4', '3', '2', '1', '4']",15,66.07143807411194
19,ISI,+,21,69.20214796066284
20,single text,2,0.5,90.22131609916687
21,ISI,+,1,90.75323009490967
22,single text,4,0.5,91.7673237323761
23,ISI,+,5,92.2842538356781
24,single text,1,0.5,97.30491805076599
25,ISI,+,2,97.81783175468445
26,single text,3,0.5,99.83795094490051
27,Bundle Interval,...,10,100.3683729171753
28,seq texts,"['1', '4', '2', '3', '1']",15,110.40518593788147
29,ISI,+,21,113.75197696685791
30,single text,4,0.5,134.78742289543152
31,ISI,+,6,135.30476999282837
32,single text,2,0.5,141.33749389648438
33,ISI,+,5,141.85092091560364
34,single text,1,0.5,146.87060403823853
35,ISI,+,2,147.40213990211487
36,single text,3,0.5,149.42032194137573
37,Bundle Interval,...,10,149.95005416870117
38,seq texts,"['4', '3', '2', '1', '4']",15,159.98819708824158
39,ISI,+,21,163.1856119632721
40,single text,3,0.5,184.32996797561646
41,ISI,+,1,184.8615207672119
42,single text,1,0.5,185.89324688911438
43,ISI,+,4,186.40912795066833
44,single text,4,0.5,190.43010091781616
45,ISI,+,1,190.94274878501892
46,single text,2,0.5,191.95924401283264
47,Bundle Interval,...,10,192.47844982147217
48,seq texts,"['4', '3', '2', '1', '4']",15,202.51682090759277
49,ISI,+,21,205.37862181663513
50,single text,3,0.5,226.3975658416748
51,ISI,+,5,226.92879986763
52,single text,4,0.5,231.94644594192505
53,ISI,+,3,232.4602198600769
54,single text,2,0.5,235.47908401489258
55,ISI,+,2,235.99367594718933
56,single text,1,0.5,238.01078915596008
57,Bundle Interval,...,10,238.52989411354065
58,seq texts,"['1', '4', '2', '3', '1']",15,248.5635449886322
59,ISI,+,21,252.1616508960724
60,single text,3,0.5,273.1816499233246
61,ISI,+,2,273.7129650115967
62,single text,4,0.5,275.7439568042755
63,ISI,+,1,276.2634198665619
64,single text,1,0.5,277.29402112960815
65,ISI,+,1,277.8107008934021
66,single text,2,0.5,278.82731199264526
67,Bundle Interval,...,10,279.34399580955505
68,seq texts,"['4', '3', '2', '1', '4']",15,289.38234996795654
69,ISI,+,21,292.3300437927246
70,single text,3,0.5,313.34838485717773
71,ISI,+,3,313.86353611946106
72,single text,2,0.5,316.88165807724
73,ISI,+,1,317.39462971687317
74,single text,1,0.5,318.4112708568573
75,ISI,+,3,318.9279799461365
76,single text,4,0.5,321.9483289718628
77,Bundle Interval,...,10,322.46171498298645
78,seq texts,"['1', '4', '2', '3', '1']",15,332.5016088485718
79,ISI,+,21,336.13062500953674
80,single text,2,0.5,357.16510581970215
81,ISI,+,2,357.68231177330017
82,single text,3,0.5,359.6979351043701
83,ISI,+,4,360.21201395988464
84,single text,1,0.5,364.23205971717834
85,ISI,+,1,364.7452540397644
86,single text,4,0.5,365.76107478141785
87,Bundle Interval,...,10,366.2787609100342
88,seq texts,"['1', '4', '2', '3', '1']",15,376.3173518180847
89,ISI,+,21,379.796590089798
90,single text,4,0.5,400.81375002861023
91,ISI,+,3,401.33266711235046
92,single text,3,0.5,404.36575508117676
93,ISI,+,1,404.8792817592621
94,single text,1,0.5,405.8960590362549
95,ISI,+,2,406.41282081604004
96,single text,2,0.5,408.4329080581665
97,Bundle Interval,...,10,408.9460799694061
98,seq texts,"['4', '3', '2', '1', '4']",15,418.9823520183563
99,ISI,+,21,422.13217997550964
100,single text,1,0.5,443.16642785072327
101,ISI,+,7,443.7018611431122
102,single text,2,0.5,450.73432898521423
103,ISI,+,1,451.26600909233093
104,single text,3,0.5,452.28037691116333
105,ISI,+,1,452.79736280441284
106,single text,4,0.5,453.8134677410126
107,Bundle Interval,...,10,454.3300280570984
108,seq texts,"['4', '3', '2', '1', '4']",15,464.3693890571594
109,ISI,+,21,467.59947991371155
110,single text,2,0.5,488.6347758769989
111,ISI,+,4,489.14840388298035
112,single text,3,0.5,493.1684019565582
113,ISI,+,2,493.6808669567108
114,single text,4,0.5,495.7007579803467
115,ISI,+,8,496.21427607536316
116,single text,1,0.5,504.2348368167877
117,Bundle Interval,...,10,504.7667648792267
118,seq texts,"['1', '4', '2', '3', '1']",15,514.8028810024261
119,ISI,+,21,518.8827929496765
-1,End,End,0,539.889387845993
