Step,Response,seconds
1,1,1.6955597400665283
3,3,4.256341934204102
5,4,9.121139764785767
7,2,15.589601039886475
8,1,27.232441663742065
8,4,27.760170936584473
8,2,28.669190883636475
8,3,29.042837858200073
8,1,29.731947660446167
8,"['1', '4', '2', '3', '1']",29.73220992088318
11,1,52.21861386299133
13,4,56.208032846450806
15,2,57.41251301765442
15,4,58.23222875595093
17,3,62.13000679016113
18,4,73.6484317779541
18,3,74.03694581985474
18,2,74.45707964897156
18,1,75.26119089126587
18,4,75.74641680717468
18,"['4', '3', '2', '1', '4']",75.74668169021606
21,2,97.90287780761719
23,4,102.26121759414673
25,3,103.46448278427124
27,1,105.55777096748352
28,1,116.58254981040955
28,4,117.06014680862427
28,2,117.720294713974
28,3,118.11342263221741
28,1,118.65012192726135
28,"['1', '4', '2', '3', '1']",118.65038990974426
31,4,140.82876181602478
33,2,142.27747869491577
35,3,149.44074392318726
37,1,155.28235268592834
38,4,165.93889474868774
38,3,166.30595302581787
38,2,166.6850118637085
38,1,167.2484118938446
38,4,167.65116167068481
38,"['4', '3', '2', '1', '4']",167.65140986442566
41,2,189.87591671943665
43,3,194.74076581001282
45,4,196.7729296684265
47,1,205.53289580345154
48,4,215.85170769691467
48,3,216.2452359199524
48,2,216.68311285972595
48,1,217.25231885910034
48,4,217.77412581443787
48,"['4', '3', '2', '1', '4']",217.77439284324646
51,4,239.91398668289185
53,1,242.5094437599182
56,3,245.808012008667
57,2,246.4585988521576
58,1,257.21890568733215
58,4,257.66830587387085
58,2,258.3488028049469
58,3,258.7043046951294
58,1,259.6837067604065
58,"['1', '4', '2', '3', '1']",259.6842496395111
61,4,281.6418459415436
63,1,283.52271795272827
65,2,284.7269775867462
67,3,285.9771807193756
68,4,296.9439947605133
68,3,297.3183767795563
68,2,297.8174648284912
68,1,298.9978277683258
68,4,299.67248368263245
68,"['4', '3', '2', '1', '4']",299.6727328300476
71,3,322.19857382774353
73,4,327.24671173095703
75,2,330.5203528404236
77,1,333.4365849494934
78,1,344.0896189212799
78,4,344.92516469955444
78,2,345.53493666648865
78,3,345.97524666786194
78,1,346.5820937156677
78,"['1', '4', '2', '3', '1']",346.58236169815063
81,3,368.47400069236755
83,2,369.95798563957214
85,4,373.71168994903564
87,1,376.26086497306824
88,1,386.8744628429413
88,4,387.39128279685974
88,2,388.3042356967926
88,3,388.7173047065735
88,1,389.28413367271423
88,"['1', '4', '2', '3', '1']",389.28438568115234
91,4,411.1814298629761
93,3,414.5695917606354
95,1,416.64761757850647
97,2,419.2184467315674
98,4,429.660276889801
98,3,430.0569038391113
98,2,430.43789982795715
98,1,430.9869318008423
98,4,431.4808557033539
98,"['4', '3', '2', '1', '4']",431.48110795021057
101,1,453.6894516944885
103,4,457.80892181396484
105,3,461.180451631546
107,2,463.90634083747864
108,4,475.2434706687927
108,3,475.70970273017883
108,2,476.1725869178772
108,1,476.92361068725586
108,4,477.37471175193787
108,"['4', '3', '2', '1', '4']",477.37497878074646
111,4,499.5873076915741
113,2,506.4033479690552
113,2,506.75463485717773
115,1,511.7376136779785
117,3,513.7548408508301
118,1,524.9512367248535
118,4,525.3767158985138
118,2,526.5511586666107
118,3,526.9747269153595
118,1,527.5967040061951
118,"['1', '4', '2', '3', '1']",527.5969567298889
