Step,Event_Type,Stimulus,display_seconds,start_seconds
119,single text,,0.0,543.6430168151855
119,single text,2 trial Ready,0.0,554.0268788337708
0,single text,4,0.5,0.013720035552978516
1,ISI,+,2,0.5305202007293701
2,single text,1,0.5,2.5502772331237793
3,ISI,+,2,3.0636041164398193
4,single text,3,0.5,5.080111265182495
5,ISI,+,1,5.600290060043335
6,single text,2,0.5,6.614276170730591
7,Bundle Interval,...,10,7.130333185195923
8,seq texts,"['1', '4', '2', '3', '1']",15,17.16835618019104
9,ISI,+,21,20.633007049560547
10,single text,3,0.5,41.66955590248108
11,ISI,+,1,42.18159008026123
12,single text,2,0.5,43.197593212127686
13,ISI,+,3,43.714280128479004
14,single text,4,0.5,46.73434329032898
15,ISI,+,2,47.247710943222046
16,single text,1,0.5,49.26724100112915
17,Bundle Interval,...,10,49.780837059020996
18,seq texts,"['4', '3', '2', '1', '4']",15,59.82057809829712
19,ISI,+,21,62.65176510810852
20,single text,4,0.5,83.68505597114563
21,ISI,+,6,84.20187330245972
22,single text,2,0.5,90.23481225967407
23,ISI,+,5,90.7490930557251
24,single text,1,0.5,95.76906490325928
25,ISI,+,2,96.28237318992615
26,single text,3,0.5,98.3012421131134
27,Bundle Interval,...,10,98.81538605690002
28,seq texts,"['1', '4', '2', '3', '1']",15,108.85335397720337
29,ISI,+,21,112.65009832382202
30,single text,4,0.5,133.68811917304993
31,ISI,+,3,134.2176501750946
32,single text,3,0.5,137.23544216156006
33,ISI,+,1,137.74908900260925
34,single text,1,0.5,138.76604223251343
35,ISI,+,2,139.28542518615723
36,single text,2,0.5,141.31907606124878
37,Bundle Interval,...,10,141.8491792678833
38,seq texts,"['4', '3', '2', '1', '4']",15,151.88626623153687
39,ISI,+,21,155.20188426971436
40,single text,2,0.5,176.23974514007568
41,ISI,+,1,176.75050902366638
42,single text,4,0.5,177.7665901184082
43,ISI,+,5,178.28339004516602
44,single text,1,0.5,183.30363011360168
45,ISI,+,2,183.81857109069824
46,single text,3,0.5,185.83650994300842
47,Bundle Interval,...,10,186.35015296936035
48,seq texts,"['4', '3', '2', '1', '4']",15,196.38877511024475
49,ISI,+,21,199.41931009292603
50,single text,1,0.5,220.43793606758118
51,ISI,+,7,220.95283198356628
52,single text,2,0.5,227.97119998931885
53,ISI,+,1,228.48495411872864
54,single text,3,0.5,229.50089597702026
55,ISI,+,1,230.02185821533203
56,single text,4,0.5,231.03383612632751
57,Bundle Interval,...,10,231.55094122886658
58,seq texts,"['1', '4', '2', '3', '1']",15,241.5914511680603
59,ISI,+,21,245.89218711853027
60,single text,4,0.5,266.88568902015686
61,ISI,+,1,267.40535497665405
62,single text,1,0.5,268.4342432022095
63,ISI,+,1,268.950581073761
64,single text,2,0.5,269.9677081108093
65,ISI,+,1,270.48617911338806
66,single text,3,0.5,271.51605916023254
67,Bundle Interval,...,10,272.0324249267578
68,seq texts,"['4', '3', '2', '1', '4']",15,282.0680329799652
69,ISI,+,21,285.6813361644745
70,single text,2,0.5,306.71327209472656
71,ISI,+,2,307.2284321784973
72,single text,3,0.5,309.24734902381897
73,ISI,+,4,309.76013708114624
74,single text,1,0.5,313.77943301200867
75,ISI,+,1,314.2932929992676
76,single text,4,0.5,315.30985498428345
77,Bundle Interval,...,10,315.82668113708496
78,seq texts,"['1', '4', '2', '3', '1']",15,325.862624168396
79,ISI,+,21,329.4467329978943
80,single text,3,0.5,350.4804720878601
81,ISI,+,3,351.0114622116089
82,single text,2,0.5,354.02858114242554
83,ISI,+,1,354.54253792762756
84,single text,1,0.5,355.558717250824
85,ISI,+,3,356.0754690170288
86,single text,4,0.5,359.09523916244507
87,Bundle Interval,...,10,359.60889410972595
88,seq texts,"['1', '4', '2', '3', '1']",15,369.64729714393616
89,ISI,+,21,373.72569513320923
90,single text,1,0.5,394.7431879043579
91,ISI,+,4,395.26038122177124
92,single text,4,0.5,399.27798199653625
93,ISI,+,3,399.791344165802
94,single text,3,0.5,402.811240196228
95,ISI,+,2,403.32424807548523
96,single text,2,0.5,405.34587693214417
97,Bundle Interval,...,10,405.87458300590515
98,seq texts,"['4', '3', '2', '1', '4']",15,415.89493918418884
99,ISI,+,21,419.27691411972046
100,single text,3,0.5,440.31060314178467
101,ISI,+,3,440.8249752521515
102,single text,1,0.5,443.84143900871277
103,ISI,+,8,444.3605229854584
104,single text,2,0.5,452.3933582305908
105,ISI,+,5,452.910835981369
106,single text,4,0.5,457.9434633255005
107,Bundle Interval,...,10,458.47584319114685
108,seq texts,"['4', '3', '2', '1', '4']",15,468.51350021362305
109,ISI,+,21,472.0606231689453
110,single text,3,0.5,493.0771040916443
111,ISI,+,5,493.59224700927734
112,single text,4,0.5,498.60998916625977
113,ISI,+,3,499.12504720687866
114,single text,2,0.5,502.13998222351074
115,ISI,+,2,502.6561222076416
116,single text,1,0.5,504.67643308639526
117,Bundle Interval,...,10,505.1897211074829
118,seq texts,"['1', '4', '2', '3', '1']",15,515.2262241840363
119,ISI,+,21,518.8585441112518
-1,End,End,0,539.861052274704
