Step,Event_Type,Stimulus,display_seconds,start_seconds
-1,single text,Press + ['r'] key to start,0.0,0.015143394470214844
-1,single text,6 trial Ready,0.0,0.683312177658081
0,single text,3,0.5,0.01240086555480957
1,ISI,+,3,0.5423438549041748
2,single text,2,0.5,3.562498092651367
3,ISI,+,1,4.076836824417114
4,single text,4,0.5,5.093816041946411
5,ISI,+,3,5.610430002212524
6,single text,1,0.5,8.633400678634644
7,Bundle Interval,...,10,9.149158954620361
8,seq texts,"['4', '3', '2', '1', '4']",15,19.17817974090576
9,ISI,+,21,22.07648205757141
10,Bundle Interval,...,0,43.09734487533569
11,single text,4,0.5,43.107584953308105
12,ISI,+,5,43.62559103965759
13,single text,1,0.5,48.64974284172058
14,ISI,+,3,49.179264068603516
15,single text,3,0.5,52.20191192626953
16,ISI,+,2,52.716455936431885
17,single text,2,0.5,54.73433804512024
18,Bundle Interval,...,10,55.24998688697815
19,seq texts,"['1', '4', '2', '3', '1']",15,65.2803840637207
20,ISI,+,21,69.97852277755737
